                                     
Unsloth: Will smartly offload gradients to save VRAM!
{'loss': 0.7552, 'grad_norm': 0.4758039116859436, 'learning_rate': 0.0, 'epoch': 0.01}
{'loss': 0.5623, 'grad_norm': 0.1867283135652542, 'learning_rate': 0.00019246119733924613, 'epoch': 0.15}
{'loss': 0.5778, 'grad_norm': 0.21008382737636566, 'learning_rate': 0.00019201773835920177, 'epoch': 0.16}
{'loss': 0.5474, 'grad_norm': 0.2482711374759674, 'learning_rate': 0.00019157427937915744, 'epoch': 0.16}
{'loss': 0.7073, 'grad_norm': 0.23406736552715302, 'learning_rate': 0.00019113082039911309, 'epoch': 0.17}
{'loss': 0.6556, 'grad_norm': 0.274377703666687, 'learning_rate': 0.00019068736141906876, 'epoch': 0.18}
{'loss': 0.6323, 'grad_norm': 0.2436545342206955, 'learning_rate': 0.0001902439024390244, 'epoch': 0.18}
{'loss': 0.5864, 'grad_norm': 0.22087736427783966, 'learning_rate': 0.00018980044345898005, 'epoch': 0.19}
{'loss': 0.6331, 'grad_norm': 0.21537531912326813, 'learning_rate': 0.00018935698447893572, 'epoch': 0.2}
{'loss': 0.5673, 'grad_norm': 0.21912860870361328, 'learning_rate': 0.00018891352549889136, 'epoch': 0.2}
{'loss': 0.5803, 'grad_norm': 0.22858597338199615, 'learning_rate': 0.00018847006651884703, 'epoch': 0.21}
{'loss': 0.6004, 'grad_norm': 0.2085399478673935, 'learning_rate': 0.00018802660753880268, 'epoch': 0.22}
{'loss': 0.626, 'grad_norm': 0.21610456705093384, 'learning_rate': 0.00018758314855875832, 'epoch': 0.22}
{'loss': 0.628, 'grad_norm': 0.25124233961105347, 'learning_rate': 0.00018713968957871397, 'epoch': 0.23}
{'loss': 0.5722, 'grad_norm': 0.18330837786197662, 'learning_rate': 0.00018669623059866964, 'epoch': 0.24}
{'loss': 0.5302, 'grad_norm': 0.2280845046043396, 'learning_rate': 0.00018625277161862528, 'epoch': 0.24}
{'loss': 0.658, 'grad_norm': 0.25166943669319153, 'learning_rate': 0.00018580931263858095, 'epoch': 0.25}
{'loss': 0.6368, 'grad_norm': 0.2165949046611786, 'learning_rate': 0.0001853658536585366, 'epoch': 0.26}
{'loss': 0.6018, 'grad_norm': 0.23425571620464325, 'learning_rate': 0.00018492239467849224, 'epoch': 0.26}
{'loss': 0.5727, 'grad_norm': 0.18992653489112854, 'learning_rate': 0.0001844789356984479, 'epoch': 0.27}
{'loss': 0.6131, 'grad_norm': 0.22127582132816315, 'learning_rate': 0.00018403547671840356, 'epoch': 0.28}
{'loss': 0.5924, 'grad_norm': 0.19071440398693085, 'learning_rate': 0.0001835920177383592, 'epoch': 0.28}
{'loss': 0.5962, 'grad_norm': 0.1827099770307541, 'learning_rate': 0.00018314855875831487, 'epoch': 0.29}
{'loss': 0.5778, 'grad_norm': 0.23052169382572174, 'learning_rate': 0.00018270509977827052, 'epoch': 0.3}
{'loss': 0.5771, 'grad_norm': 0.20440728962421417, 'learning_rate': 0.00018226164079822616, 'epoch': 0.3}
{'loss': 0.5284, 'grad_norm': 0.2131272256374359, 'learning_rate': 0.00018181818181818183, 'epoch': 0.31}
{'loss': 0.6029, 'grad_norm': 0.20805327594280243, 'learning_rate': 0.00018137472283813748, 'epoch': 0.32}
{'loss': 0.5555, 'grad_norm': 0.1979537159204483, 'learning_rate': 0.00018093126385809312, 'epoch': 0.32}
{'loss': 0.5623, 'grad_norm': 0.19700339436531067, 'learning_rate': 0.0001804878048780488, 'epoch': 0.33}
{'loss': 0.6415, 'grad_norm': 0.2533993721008301, 'learning_rate': 0.00018004434589800444, 'epoch': 0.34}
{'loss': 0.577, 'grad_norm': 0.19686096906661987, 'learning_rate': 0.00017960088691796008, 'epoch': 0.34}
{'loss': 0.5616, 'grad_norm': 0.215688556432724, 'learning_rate': 0.00017915742793791575, 'epoch': 0.35}
{'loss': 0.6234, 'grad_norm': 0.18940354883670807, 'learning_rate': 0.0001787139689578714, 'epoch': 0.36}
{'loss': 0.6039, 'grad_norm': 0.206101655960083, 'learning_rate': 0.00017827050997782707, 'epoch': 0.36}
{'loss': 0.6259, 'grad_norm': 0.20746903121471405, 'learning_rate': 0.00017782705099778271, 'epoch': 0.37}
{'loss': 0.6131, 'grad_norm': 0.18794570863246918, 'learning_rate': 0.00017738359201773839, 'epoch': 0.38}
{'loss': 0.5665, 'grad_norm': 0.2305947095155716, 'learning_rate': 0.000176940133037694, 'epoch': 0.38}
{'loss': 0.5799, 'grad_norm': 0.18827201426029205, 'learning_rate': 0.00017649667405764967, 'epoch': 0.39}
{'loss': 0.6363, 'grad_norm': 0.20140768587589264, 'learning_rate': 0.00017605321507760532, 'epoch': 0.4}
{'loss': 0.601, 'grad_norm': 0.2115369737148285, 'learning_rate': 0.000175609756097561, 'epoch': 0.4}
{'loss': 0.7052, 'grad_norm': 0.19924165308475494, 'learning_rate': 0.00017516629711751663, 'epoch': 0.41}
{'loss': 0.5832, 'grad_norm': 0.19585449993610382, 'learning_rate': 0.0001747228381374723, 'epoch': 0.42}
{'loss': 0.6291, 'grad_norm': 0.19483691453933716, 'learning_rate': 0.00017427937915742792, 'epoch': 0.42}
{'loss': 0.6199, 'grad_norm': 0.2326798439025879, 'learning_rate': 0.0001738359201773836, 'epoch': 0.43}
{'loss': 0.6025, 'grad_norm': 0.19163358211517334, 'learning_rate': 0.00017339246119733924, 'epoch': 0.44}
{'loss': 0.5105, 'grad_norm': 0.2016475796699524, 'learning_rate': 0.0001729490022172949, 'epoch': 0.44}
{'loss': 0.573, 'grad_norm': 0.1957264393568039, 'learning_rate': 0.00017250554323725056, 'epoch': 0.45}
{'loss': 0.5762, 'grad_norm': 0.1985839158296585, 'learning_rate': 0.00017206208425720623, 'epoch': 0.45}
{'loss': 0.5155, 'grad_norm': 0.1939108967781067, 'learning_rate': 0.00017161862527716187, 'epoch': 0.46}
{'loss': 0.658, 'grad_norm': 0.20642820000648499, 'learning_rate': 0.00017117516629711752, 'epoch': 0.47}
{'loss': 0.6216, 'grad_norm': 0.21677331626415253, 'learning_rate': 0.0001707317073170732, 'epoch': 0.47}
{'loss': 0.6063, 'grad_norm': 0.21692267060279846, 'learning_rate': 0.00017028824833702883, 'epoch': 0.48}
{'loss': 0.5712, 'grad_norm': 0.19212272763252258, 'learning_rate': 0.0001698447893569845, 'epoch': 0.49}
{'loss': 0.4993, 'grad_norm': 0.2036840170621872, 'learning_rate': 0.00016940133037694015, 'epoch': 0.49}
{'loss': 0.525, 'grad_norm': 0.2064627856016159, 'learning_rate': 0.00016895787139689582, 'epoch': 0.5}
{'loss': 0.5002, 'grad_norm': 0.27869293093681335, 'learning_rate': 0.00016851441241685144, 'epoch': 0.51}
{'loss': 0.6276, 'grad_norm': 0.2245902419090271, 'learning_rate': 0.0001680709534368071, 'epoch': 0.51}
{'loss': 0.609, 'grad_norm': 0.1916748732328415, 'learning_rate': 0.00016762749445676275, 'epoch': 0.52}
{'loss': 0.6231, 'grad_norm': 0.2402047961950302, 'learning_rate': 0.00016718403547671842, 'epoch': 0.53}
{'loss': 0.5789, 'grad_norm': 0.19623742997646332, 'learning_rate': 0.00016674057649667407, 'epoch': 0.53}
{'loss': 0.6179, 'grad_norm': 0.24920205771923065, 'learning_rate': 0.00016629711751662974, 'epoch': 0.54}
{'loss': 0.5725, 'grad_norm': 0.1860964447259903, 'learning_rate': 0.00016585365853658536, 'epoch': 0.55}
{'loss': 0.5118, 'grad_norm': 0.18707625567913055, 'learning_rate': 0.00016541019955654103, 'epoch': 0.55}
{'loss': 0.5305, 'grad_norm': 0.1715422421693802, 'learning_rate': 0.00016496674057649667, 'epoch': 0.56}
{'loss': 0.5871, 'grad_norm': 0.19358529150485992, 'learning_rate': 0.00016452328159645234, 'epoch': 0.57}
{'loss': 0.55, 'grad_norm': 0.21268728375434875, 'learning_rate': 0.000164079822616408, 'epoch': 0.57}
{'loss': 0.5334, 'grad_norm': 0.2204352617263794, 'learning_rate': 0.00016363636363636366, 'epoch': 0.58}
{'loss': 0.523, 'grad_norm': 0.1661900281906128, 'learning_rate': 0.0001631929046563193, 'epoch': 0.59}
{'loss': 0.619, 'grad_norm': 0.22550931572914124, 'learning_rate': 0.00016274944567627495, 'epoch': 0.59}
{'loss': 0.6352, 'grad_norm': 0.3030531108379364, 'learning_rate': 0.0001623059866962306, 'epoch': 0.6}
{'loss': 0.5591, 'grad_norm': 0.19042176008224487, 'learning_rate': 0.00016186252771618626, 'epoch': 0.61}
{'loss': 0.5763, 'grad_norm': 0.20103618502616882, 'learning_rate': 0.0001614190687361419, 'epoch': 0.61}
{'loss': 0.6024, 'grad_norm': 0.18564316630363464, 'learning_rate': 0.00016097560975609758, 'epoch': 0.62}
{'loss': 0.5964, 'grad_norm': 0.19086822867393494, 'learning_rate': 0.00016053215077605322, 'epoch': 0.63}
{'loss': 0.507, 'grad_norm': 0.19909150898456573, 'learning_rate': 0.00016008869179600887, 'epoch': 0.63}
{'loss': 0.6231, 'grad_norm': 0.1967984139919281, 'learning_rate': 0.00015964523281596454, 'epoch': 0.64}
{'loss': 0.6174, 'grad_norm': 0.17631280422210693, 'learning_rate': 0.00015920177383592018, 'epoch': 0.65}
{'loss': 0.5452, 'grad_norm': 0.21063441038131714, 'learning_rate': 0.00015875831485587586, 'epoch': 0.65}
{'loss': 0.5393, 'grad_norm': 0.2099931240081787, 'learning_rate': 0.0001583148558758315, 'epoch': 0.66}
{'loss': 0.6702, 'grad_norm': 0.19926005601882935, 'learning_rate': 0.00015787139689578714, 'epoch': 0.67}
{'loss': 0.5717, 'grad_norm': 0.21350456774234772, 'learning_rate': 0.0001574279379157428, 'epoch': 0.67}
{'loss': 0.5797, 'grad_norm': 0.20670689642429352, 'learning_rate': 0.00015698447893569846, 'epoch': 0.68}
{'loss': 0.6715, 'grad_norm': 0.20725837349891663, 'learning_rate': 0.0001565410199556541, 'epoch': 0.69}
{'loss': 0.5195, 'grad_norm': 0.20284196734428406, 'learning_rate': 0.00015609756097560978, 'epoch': 0.69}
{'loss': 0.6076, 'grad_norm': 0.18364331126213074, 'learning_rate': 0.00015565410199556542, 'epoch': 0.7}
{'loss': 0.5529, 'grad_norm': 0.2012399286031723, 'learning_rate': 0.00015521064301552106, 'epoch': 0.71}
{'loss': 0.5404, 'grad_norm': 0.23031602799892426, 'learning_rate': 0.0001547671840354767, 'epoch': 0.71}
{'loss': 0.6728, 'grad_norm': 0.20356562733650208, 'learning_rate': 0.00015432372505543238, 'epoch': 0.72}
{'loss': 0.6255, 'grad_norm': 0.2057100534439087, 'learning_rate': 0.00015388026607538802, 'epoch': 0.73}
{'loss': 0.6227, 'grad_norm': 0.1882828176021576, 'learning_rate': 0.0001534368070953437, 'epoch': 0.73}
{'loss': 0.6136, 'grad_norm': 0.21434499323368073, 'learning_rate': 0.00015299334811529934, 'epoch': 0.74}
{'loss': 0.5078, 'grad_norm': 0.17056411504745483, 'learning_rate': 0.00015254988913525498, 'epoch': 0.75}
{'loss': 0.6215, 'grad_norm': 0.18305663764476776, 'learning_rate': 0.00015210643015521066, 'epoch': 0.75}
{'loss': 0.5647, 'grad_norm': 0.19156411290168762, 'learning_rate': 0.0001516629711751663, 'epoch': 0.76}
{'loss': 0.5649, 'grad_norm': 0.18426097929477692, 'learning_rate': 0.00015121951219512197, 'epoch': 0.76}
{'loss': 0.5807, 'grad_norm': 0.19369512796401978, 'learning_rate': 0.00015077605321507762, 'epoch': 0.77}
{'loss': 0.5681, 'grad_norm': 0.2088569551706314, 'learning_rate': 0.0001503325942350333, 'epoch': 0.78}
{'loss': 0.6122, 'grad_norm': 0.18962819874286652, 'learning_rate': 0.0001498891352549889, 'epoch': 0.78}
{'loss': 0.6226, 'grad_norm': 0.2306853085756302, 'learning_rate': 0.00014944567627494458, 'epoch': 0.79}
{'loss': 0.5984, 'grad_norm': 0.19714517891407013, 'learning_rate': 0.00014900221729490022, 'epoch': 0.8}
{'loss': 0.6575, 'grad_norm': 0.20360346138477325, 'learning_rate': 0.0001485587583148559, 'epoch': 0.8}
{'loss': 0.5635, 'grad_norm': 0.1980799436569214, 'learning_rate': 0.00014811529933481154, 'epoch': 0.81}
{'loss': 0.5212, 'grad_norm': 0.19449922442436218, 'learning_rate': 0.0001476718403547672, 'epoch': 0.82}
{'loss': 0.6966, 'grad_norm': 0.20561961829662323, 'learning_rate': 0.00014722838137472282, 'epoch': 0.82}
{'loss': 0.6062, 'grad_norm': 0.18851588666439056, 'learning_rate': 0.0001467849223946785, 'epoch': 0.83}
{'loss': 0.5617, 'grad_norm': 0.1996566206216812, 'learning_rate': 0.00014634146341463414, 'epoch': 0.84}
{'loss': 0.6235, 'grad_norm': 0.1933296024799347, 'learning_rate': 0.0001458980044345898, 'epoch': 0.84}
{'loss': 0.6293, 'grad_norm': 0.2343812733888626, 'learning_rate': 0.00014545454545454546, 'epoch': 0.85}
{'loss': 0.6264, 'grad_norm': 0.2108798772096634, 'learning_rate': 0.00014501108647450113, 'epoch': 0.86}
{'loss': 0.6219, 'grad_norm': 0.2021872103214264, 'learning_rate': 0.00014456762749445675, 'epoch': 0.86}
{'loss': 0.5905, 'grad_norm': 0.208243727684021, 'learning_rate': 0.00014412416851441242, 'epoch': 0.87}
{'loss': 0.6062, 'grad_norm': 0.20804908871650696, 'learning_rate': 0.00014368070953436806, 'epoch': 0.88}
{'loss': 0.6553, 'grad_norm': 0.20149989426136017, 'learning_rate': 0.00014323725055432373, 'epoch': 0.88}
{'loss': 0.5459, 'grad_norm': 0.17681428790092468, 'learning_rate': 0.00014279379157427938, 'epoch': 0.89}
{'loss': 0.6221, 'grad_norm': 0.1890985518693924, 'learning_rate': 0.00014235033259423505, 'epoch': 0.9}
{'loss': 0.5643, 'grad_norm': 0.20828303694725037, 'learning_rate': 0.0001419068736141907, 'epoch': 0.9}
{'loss': 0.6613, 'grad_norm': 0.21463969349861145, 'learning_rate': 0.00014146341463414634, 'epoch': 0.91}
{'loss': 0.5947, 'grad_norm': 0.2143961489200592, 'learning_rate': 0.000141019955654102, 'epoch': 0.92}
{'loss': 0.5056, 'grad_norm': 0.18823489546775818, 'learning_rate': 0.00014057649667405765, 'epoch': 0.92}
{'loss': 0.6086, 'grad_norm': 0.1942504197359085, 'learning_rate': 0.00014013303769401332, 'epoch': 0.93}
{'loss': 0.6147, 'grad_norm': 0.2080485224723816, 'learning_rate': 0.00013968957871396897, 'epoch': 0.94}
{'loss': 0.5989, 'grad_norm': 0.20628292858600616, 'learning_rate': 0.00013924611973392464, 'epoch': 0.94}
{'loss': 0.5388, 'grad_norm': 0.199805349111557, 'learning_rate': 0.00013880266075388026, 'epoch': 0.95}
{'loss': 0.6032, 'grad_norm': 0.18676666915416718, 'learning_rate': 0.00013835920177383593, 'epoch': 0.96}
{'loss': 0.618, 'grad_norm': 0.17786766588687897, 'learning_rate': 0.00013791574279379157, 'epoch': 0.96}
{'loss': 0.666, 'grad_norm': 0.20638929307460785, 'learning_rate': 0.00013747228381374724, 'epoch': 0.97}
{'loss': 0.5795, 'grad_norm': 0.2211507260799408, 'learning_rate': 0.0001370288248337029, 'epoch': 0.98}
{'loss': 0.5832, 'grad_norm': 0.20246678590774536, 'learning_rate': 0.00013658536585365856, 'epoch': 0.98}
{'loss': 0.5941, 'grad_norm': 0.20090249180793762, 'learning_rate': 0.00013614190687361418, 'epoch': 0.99}
{'loss': 0.6049, 'grad_norm': 0.18772733211517334, 'learning_rate': 0.00013569844789356985, 'epoch': 1.0}
{'loss': 0.6316, 'grad_norm': 0.2508198022842407, 'learning_rate': 0.0001352549889135255, 'epoch': 1.0}
{'loss': 0.5717, 'grad_norm': 0.19050097465515137, 'learning_rate': 0.00013481152993348116, 'epoch': 1.01}
{'loss': 0.5387, 'grad_norm': 0.18362154066562653, 'learning_rate': 0.0001343680709534368, 'epoch': 1.01}
{'loss': 0.4744, 'grad_norm': 0.19631682336330414, 'learning_rate': 0.00013392461197339248, 'epoch': 1.02}
{'loss': 0.5371, 'grad_norm': 0.18907701969146729, 'learning_rate': 0.00013348115299334812, 'epoch': 1.03}
{'loss': 0.5559, 'grad_norm': 0.19886748492717743, 'learning_rate': 0.00013303769401330377, 'epoch': 1.03}
{'loss': 0.5706, 'grad_norm': 0.21876704692840576, 'learning_rate': 0.00013259423503325944, 'epoch': 1.04}
{'loss': 0.5315, 'grad_norm': 0.21264131367206573, 'learning_rate': 0.00013215077605321509, 'epoch': 1.05}
{'loss': 0.5721, 'grad_norm': 0.20265066623687744, 'learning_rate': 0.00013170731707317076, 'epoch': 1.05}
{'loss': 0.5393, 'grad_norm': 0.20177850127220154, 'learning_rate': 0.0001312638580931264, 'epoch': 1.06}
{'loss': 0.6119, 'grad_norm': 0.21621735394001007, 'learning_rate': 0.00013082039911308205, 'epoch': 1.07}
{'loss': 0.5867, 'grad_norm': 0.19867371022701263, 'learning_rate': 0.0001303769401330377, 'epoch': 1.07}
{'loss': 0.5608, 'grad_norm': 0.22130629420280457, 'learning_rate': 0.00012993348115299336, 'epoch': 1.08}
{'loss': 0.5348, 'grad_norm': 0.20493388175964355, 'learning_rate': 0.000129490022172949, 'epoch': 1.09}
{'loss': 0.6514, 'grad_norm': 0.22179386019706726, 'learning_rate': 0.00012904656319290468, 'epoch': 1.09}
{'loss': 0.5501, 'grad_norm': 0.20678260922431946, 'learning_rate': 0.00012860310421286032, 'epoch': 1.1}
{'loss': 0.5598, 'grad_norm': 0.20302395522594452, 'learning_rate': 0.00012815964523281597, 'epoch': 1.11}
{'loss': 0.5056, 'grad_norm': 0.20711584389209747, 'learning_rate': 0.0001277161862527716, 'epoch': 1.11}
{'loss': 0.6837, 'grad_norm': 0.22992724180221558, 'learning_rate': 0.00012727272727272728, 'epoch': 1.12}
{'loss': 0.5543, 'grad_norm': 0.20795467495918274, 'learning_rate': 0.00012682926829268293, 'epoch': 1.13}
{'loss': 0.5166, 'grad_norm': 0.21116188168525696, 'learning_rate': 0.0001263858093126386, 'epoch': 1.13}
{'loss': 0.5256, 'grad_norm': 0.20096930861473083, 'learning_rate': 0.00012594235033259424, 'epoch': 1.14}
{'loss': 0.5976, 'grad_norm': 0.2282021939754486, 'learning_rate': 0.00012549889135254989, 'epoch': 1.15}
{'loss': 0.5215, 'grad_norm': 0.23294641077518463, 'learning_rate': 0.00012505543237250553, 'epoch': 1.15}
{'loss': 0.5, 'grad_norm': 0.21611861884593964, 'learning_rate': 0.0001246119733924612, 'epoch': 1.16}
{'loss': 0.5581, 'grad_norm': 0.20457226037979126, 'learning_rate': 0.00012416851441241685, 'epoch': 1.16}
{'loss': 0.6647, 'grad_norm': 0.22376222908496857, 'learning_rate': 0.00012372505543237252, 'epoch': 1.17}
{'loss': 0.4993, 'grad_norm': 0.22341018915176392, 'learning_rate': 0.00012328159645232816, 'epoch': 1.18}
{'loss': 0.579, 'grad_norm': 0.21384131908416748, 'learning_rate': 0.0001228381374722838, 'epoch': 1.18}
{'loss': 0.6591, 'grad_norm': 0.24000604450702667, 'learning_rate': 0.00012239467849223948, 'epoch': 1.19}
{'loss': 0.6133, 'grad_norm': 0.24060307443141937, 'learning_rate': 0.00012195121951219512, 'epoch': 1.2}
{'loss': 0.6208, 'grad_norm': 0.22443196177482605, 'learning_rate': 0.00012150776053215078, 'epoch': 1.2}
{'loss': 0.5705, 'grad_norm': 0.22343121469020844, 'learning_rate': 0.00012106430155210644, 'epoch': 1.21}
{'loss': 0.5676, 'grad_norm': 0.244235560297966, 'learning_rate': 0.0001206208425720621, 'epoch': 1.22}
{'loss': 0.5068, 'grad_norm': 0.2219146341085434, 'learning_rate': 0.00012017738359201774, 'epoch': 1.22}
{'loss': 0.5804, 'grad_norm': 0.23907075822353363, 'learning_rate': 0.0001197339246119734, 'epoch': 1.23}
{'loss': 0.4956, 'grad_norm': 0.2897680401802063, 'learning_rate': 0.00011929046563192906, 'epoch': 1.24}
{'loss': 0.5426, 'grad_norm': 0.2634738087654114, 'learning_rate': 0.00011884700665188471, 'epoch': 1.24}
{'loss': 0.5713, 'grad_norm': 0.2354474663734436, 'learning_rate': 0.00011840354767184036, 'epoch': 1.25}
{'loss': 0.6628, 'grad_norm': 0.2501016855239868, 'learning_rate': 0.00011796008869179602, 'epoch': 1.26}
{'loss': 0.5538, 'grad_norm': 0.2607097625732422, 'learning_rate': 0.00011751662971175166, 'epoch': 1.26}
{'loss': 0.5771, 'grad_norm': 0.2245800793170929, 'learning_rate': 0.00011707317073170732, 'epoch': 1.27}
{'loss': 0.5065, 'grad_norm': 0.21973317861557007, 'learning_rate': 0.00011662971175166298, 'epoch': 1.28}
{'loss': 0.5417, 'grad_norm': 0.22958895564079285, 'learning_rate': 0.00011618625277161863, 'epoch': 1.28}
{'loss': 0.5925, 'grad_norm': 0.23516233265399933, 'learning_rate': 0.00011574279379157429, 'epoch': 1.29}
{'loss': 0.4993, 'grad_norm': 0.22883020341396332, 'learning_rate': 0.00011529933481152995, 'epoch': 1.3}
{'loss': 0.5556, 'grad_norm': 0.2260976880788803, 'learning_rate': 0.00011485587583148558, 'epoch': 1.3}
{'loss': 0.5598, 'grad_norm': 0.23775678873062134, 'learning_rate': 0.00011441241685144124, 'epoch': 1.31}
{'loss': 0.5383, 'grad_norm': 0.21669654548168182, 'learning_rate': 0.0001139689578713969, 'epoch': 1.32}
{'loss': 0.545, 'grad_norm': 0.2213975191116333, 'learning_rate': 0.00011352549889135255, 'epoch': 1.32}
{'loss': 0.6405, 'grad_norm': 0.24888387322425842, 'learning_rate': 0.00011308203991130821, 'epoch': 1.33}
{'loss': 0.5599, 'grad_norm': 0.24202832579612732, 'learning_rate': 0.00011263858093126387, 'epoch': 1.34}
{'loss': 0.5781, 'grad_norm': 0.22519931197166443, 'learning_rate': 0.00011219512195121953, 'epoch': 1.34}
{'loss': 0.5466, 'grad_norm': 0.24391232430934906, 'learning_rate': 0.00011175166297117516, 'epoch': 1.35}
{'loss': 0.5485, 'grad_norm': 0.2347579300403595, 'learning_rate': 0.00011130820399113082, 'epoch': 1.36}
{'loss': 0.5492, 'grad_norm': 0.25218018889427185, 'learning_rate': 0.00011086474501108647, 'epoch': 1.36}
{'loss': 0.5805, 'grad_norm': 0.2539060711860657, 'learning_rate': 0.00011042128603104213, 'epoch': 1.37}
{'loss': 0.5895, 'grad_norm': 0.23351027071475983, 'learning_rate': 0.00010997782705099779, 'epoch': 1.38}
{'loss': 0.508, 'grad_norm': 0.23605452477931976, 'learning_rate': 0.00010953436807095345, 'epoch': 1.38}
{'loss': 0.5786, 'grad_norm': 0.24795852601528168, 'learning_rate': 0.00010909090909090909, 'epoch': 1.39}
{'loss': 0.503, 'grad_norm': 0.21438272297382355, 'learning_rate': 0.00010864745011086475, 'epoch': 1.4}
{'loss': 0.6089, 'grad_norm': 0.233209490776062, 'learning_rate': 0.00010820399113082041, 'epoch': 1.4}
{'loss': 0.5645, 'grad_norm': 0.25405120849609375, 'learning_rate': 0.00010776053215077607, 'epoch': 1.41}
{'loss': 0.5298, 'grad_norm': 0.2214081734418869, 'learning_rate': 0.00010731707317073172, 'epoch': 1.42}
{'loss': 0.6208, 'grad_norm': 0.24510854482650757, 'learning_rate': 0.00010687361419068738, 'epoch': 1.42}
{'loss': 0.6177, 'grad_norm': 0.22666414082050323, 'learning_rate': 0.00010643015521064301, 'epoch': 1.43}
{'loss': 0.5001, 'grad_norm': 0.2527770400047302, 'learning_rate': 0.00010598669623059867, 'epoch': 1.44}
{'loss': 0.5503, 'grad_norm': 0.2251192033290863, 'learning_rate': 0.00010554323725055433, 'epoch': 1.44}
{'loss': 0.5651, 'grad_norm': 0.24413590133190155, 'learning_rate': 0.00010509977827050999, 'epoch': 1.45}
{'loss': 0.5848, 'grad_norm': 0.24469232559204102, 'learning_rate': 0.00010465631929046564, 'epoch': 1.45}
{'loss': 0.4313, 'grad_norm': 0.23300909996032715, 'learning_rate': 0.0001042128603104213, 'epoch': 1.46}
{'loss': 0.5007, 'grad_norm': 0.2203967273235321, 'learning_rate': 0.00010376940133037693, 'epoch': 1.47}
{'loss': 0.638, 'grad_norm': 0.23971252143383026, 'learning_rate': 0.00010332594235033259, 'epoch': 1.47}
{'loss': 0.5723, 'grad_norm': 0.2573699951171875, 'learning_rate': 0.00010288248337028825, 'epoch': 1.48}
{'loss': 0.5595, 'grad_norm': 0.2535538971424103, 'learning_rate': 0.0001024390243902439, 'epoch': 1.49}
{'loss': 0.5488, 'grad_norm': 0.2145998626947403, 'learning_rate': 0.00010199556541019956, 'epoch': 1.49}
{'loss': 0.5586, 'grad_norm': 0.23300594091415405, 'learning_rate': 0.00010155210643015522, 'epoch': 1.5}
{'loss': 0.5997, 'grad_norm': 0.24961374700069427, 'learning_rate': 0.00010110864745011087, 'epoch': 1.51}
{'loss': 0.5111, 'grad_norm': 0.2457309514284134, 'learning_rate': 0.00010066518847006652, 'epoch': 1.51}
{'loss': 0.6021, 'grad_norm': 0.23674511909484863, 'learning_rate': 0.00010022172949002218, 'epoch': 1.52}
{'loss': 0.5919, 'grad_norm': 0.24541908502578735, 'learning_rate': 9.977827050997783e-05, 'epoch': 1.53}
